lat;long;place_id;place_name;place_website;place_rating;review_mean;review_std;checkins;users;place_website_4q;group_id;group_followers_count;world_rank;country_rank;link_numbers;distance_metro;district;rating
55.781240000000004;37.46956110000001;ChIJe5ndsOJItUYRjmfb0BQVMVo;Семейный доктор, Поликлиника № 2;http://www.fdoctor.ru/;2.9;0.3695652173913043;0.4826870285037938;3553.0;960.0;http://www.fdoctor.ru/karbusheva/;;;225651.0;14495.0;160.0;2860.3903940802375;Россия, Москва, Северо-Западный административный округ, район Хорошёво-Мнёвники;64
55.694656200000004;37.599441999999996;ChIJfxXJW19LtUYRHE4QiJqhNvs;Филиал №1 ОКД №1;http://okd1.ru/;3.8;0.16666666666666666;0.3726779962499649;2887.0;1006.0;;;;2599525.0;167631.0;14.0;753.9918813872447;Россия, Москва, Южный административный округ, Донской район;
55.69021899999999;37.578219;ChIJuarZ75dMtUYRZcavDIKR2wY;Герпетический центр;http://www.herpesclinic.ru/;3.8;0.5;0.5;171.0;74.0;;;;396125.0;49103.0;96.0;573.7761307083169;Россия, Москва, Юго-Западный административный округ, Академический район;
55.73811380000001;37.6581958;ChIJY08_PcU2tUYR6Amb8k0uSsg;Семейный доктор, Поликлиника № 1;http://www.fdoctor.ru/;3.6;0.2702702702702703;0.4440993709501347;3767.0;1156.0;http://www.fdoctor.ru/voroncovskaya/;;;225651.0;14495.0;160.0;519.0424284479134;Россия, Москва, Центральный административный округ, Таганский район;99
55.814626000000004;37.64764890000001;ChIJzwFoXdw1tUYRuG0m82eGIDQ;СМ-Клиника;http://www.smclinic.ru/;4.2;0.23728813559322035;0.4254203524749537;5049.0;1752.0;;64709548.0;2407.0;129637.0;7366.0;370.0;919.8556635357754;Россия, Москва, Северо-Восточный административный округ, Алексеевский район;
55.73007399999999;37.56401810000001;ChIJR9X5PJdLtUYRkfCGcjA-RlI;Российский научный центр хирургии имени академика Б.В. Петровского;http://www.med.ru/;4.8;0.0;0.0;3706.0;884.0;http://www.med.ru;;;766552.0;88929.0;335.0;587.8720764197654;Россия, Москва, Центральный административный округ, район Хамовники, 538-й квартал;
55.736785;37.585044;ChIJ9yNc-qRLtUYRyeHzshZmfCY;ООО Лечебный Центр;http://www.lcenter.ru/;4.3;0.24390243902439024;0.4294345576014392;20274.0;3114.0;http://www.lcenter.ru;;;704760.0;46815.0;74.0;906.4379422955031;Россия, Москва, Центральный административный округ, район Хамовники;113
55.724194999999995;37.44600760000001;ChIJ8YALJJZOtUYRBT2Jb6n0Dw4;Мать И Дитя Клиника;http://www.mamadeti.ru/kuntsevo;4.4;0.0;0.0;207.0;101.0;http://www.mamadeti.ru;80278910.0;58.0;204034.0;13045.0;343.0;568.0745107575019;Россия, Москва, Западный административный округ, Можайский район, жилой комплекс Кунцево;
55.784647;37.59734;ChIJl2xUAhpKtUYRZn1tK_tz60c;МОБИЛМЕД;http://mobil-med.org/;4.1;0.29411764705882354;0.4556450995538137;1148.0;802.0;https://www.mobil-med.org;19541355.0;3935.0;693708.0;42464.0;32.0;291.27836667381206;Россия, Москва, Центральный административный округ, Тверской район;101
55.687815799999996;37.299887700000006;ChIJwyWJOkJQtUYRCK0MBTWQads;Альтамед-с;http://altamed-c.ru/;4.2;0.226;0.4182391660282428;51517.0;32226.0;http://www.arts-museum.ru;;;4139703.0;371433.0;93.0;13775.830615701718;Россия, Московская область, Одинцово, 5-й микрорайон;
55.747916999999994;37.42425099999999;ChIJtQFhDNdOtUYRPHE2VdOjPLE;Клинико-Диагностический Центр № 4;https://kdc4.mos.ru/;3.8;0.2307692307692308;0.4213250442347432;1134.0;351.0;http://www.mosgorzdrav.ru/gp57;;;1720.0;48.0;17970.0;1080.301930207046;Россия, Москва, Западный административный округ, район Крылатское;72
55.746207999999996;37.586056;ChIJt3gWiZpLtUYRhGVyFFOKdHc;Центр Флебологии;http://www.varikoz.ru/;1.0;0.0;0.0;112.0;64.0;;26011589.0;1355.0;852017.0;55692.0;106.0;282.39817654910587;Россия, Москва, Центральный административный округ, район Хамовники, 174-й квартал;
55.667616;37.512454999999996;ChIJdb3tG3pDNEERE4MvdCrcyVg;Детская Больница Журнал;http://rdkb.ru/;5.0;0.2692307692307692;0.4435600997950306;9671.0;2952.0;http://filatovskaya.ru;;;953223.0;65932.0;220.0;1103.307410710651;Россия, Москва, Западный административный округ, район Проспект Вернадского;
55.64555670000001;37.670815399999995;ChIJ0VxLZp-zSkERacGD5dH-GzU;Семейная;http://semeynaya.ru/;3.7;0.0;0.0;740.0;264.0;http://semeynaya.ru;51289345.0;156341.0;375625.0;26044.0;185.0;1825.9179710753997;Россия, Москва, Южный административный округ, район Москворечье-Сабурово;90
55.43331070000001;37.54660140000001;ChIJs3duNUaoSkERori4devIu38;Здоровье Поколение;http://www.zdorovoepokolenie.ru/;3.0;;;;;;130030438.0;1458.0;7538491.0;638068.0;48.0;9849.809971393166;Россия, Московская область, Подольск, микрорайон Зелёновский;
55.79486389999999;37.607102399999995;ChIJScpbIQFKtUYRI56nRcAwDJk;GMS Clinic Ямская;http://www.gmsclinic.ru/;4.5;0.3636363636363637;0.4810456929208346;1641.0;499.0;http://www.gmsclinic.ru;;;576070.0;62404.0;163.0;1013.5598314273502;Россия, Москва, Северо-Восточный административный округ, район Марьина Роща;92
55.748915000000004;37.71088900000001;ChIJPaD-Cq5KtUYRUGXgNQOUCns;Скандинавский Центр Здоровья;http://www.scz.ru/;4.1;0.2222222222222222;0.41573970964154905;3059.0;1006.0;;96416247.0;1769.0;996212.0;59594.0;63.0;674.5388740408205;Россия, Москва, Юго-Восточный административный округ, район Лефортово;69
55.7734764;37.5943334;ChIJhyIlAT1KtUYRcDXCuviynyU;"клиника ОАО ""Медицина""";http://www.medicina.ru/;3.8;0.2639593908629442;0.4407775298698967;18650.0;3007.0;http://www.medicina.ru;11744058.0;645.0;588367.0;51871.0;303.0;384.057663828847;Россия, Москва, Центральный административный округ, Тверской район;101
55.651708400000004;37.7405046;ChIJsbG0Ngm0SkERwmJQqGiKgWM;Медицинский Центр В Марьино;http://www.mgido.ru/;4.2;0.4;0.4898979485566357;301.0;162.0;http://www.mgido.ru;;;2387416.0;211452.0;36.0;439.14604800459574;Россия, Москва, Юго-Восточный административный округ, район Марьино;
55.771514999999994;37.465644;ChIJ4Ug1ah9JtUYR9EvYWnVQRGg;Городская клиническая больница 67;http://67-больница.рф/;3.8;0.1891891891891892;0.3916588309780929;7865.0;3047.0;http://67gkb.ru;13818983.0;149.0;14347280.0;;3.0;4682.98299543063;Россия, Москва, Северо-Западный административный округ, район Хорошёво-Мнёвники;64
